id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento
1,Jose Chavez Perez,jose.chavez.perez1@gmail.com,Masculino,2011-11-24,San Miguel,No especificado
6,Ricardo Lopez Vasquez,ricardo.lopez.vasquez6@seguro.sv,Masculino,1966-10-15,Sonsonate,pyme
13,Carlos Santos Morales,carlos.santos.morales6@correo.com,Masculino,1975-08-02,Santa Ana,regular
17,Diego Garcia Flores,diego.garcia.flores3@seguro.sv,Femenino,1980-06-10,La Libertad,vip
20,Paula Lopez Garcia,paula.lopez.garcia6@correo.com,Femenino,1966-05-25,San Miguel,No especificado
28,Paula Castillo Santos,paula.castillo.santos0@gmail.com,Femenino,1978-06-21,San Salvador,premium
33,Ricardo Chavez Garcia,ricardo.chavez.garcia5@seguro.sv,Femenino,1993-08-26,San Miguel,vip
46,Daniela Santos Reyes,daniela.santos.reyes4@seguro.sv,Masculino,1949-01-01,La Libertad,premium
47,Andres Perez Garcia,andres.perez.garcia5@example.com,Femenino,1982-02-13,La Libertad,regular
50,Marta Martinez Castillo,marta.martinez.castillo1@correo.com,Masculino,1972-02-28,La Libertad,premium
55,Ana Santos Martinez,ana.santos.martinez6@example.com,Masculino,1994-05-27,San Miguel,premium
67,Marta Perez Torres,marta.perez.torres4@correo.com,Femenino,1940-04-02,San Miguel,vip
70,Jose Chavez Mendoza,jose.chavez.mendoza0@mail.com,Masculino,1959-11-16,San Miguel,vip
73,Carlos Chavez Mendoza,carlos.chavez.mendoza3@mail.com,Masculino,1994-04-25,Santa Ana,pyme
80,Jorge Morales Garcia,jorge.morales.garcia3@mail.com,Masculino,1952-09-22,Santa Ana,pyme
81,Paula Reyes Gomez,paula.reyes.gomez4@example.com,Femenino,1973-03-13,San Salvador,premium
94,Pedro Castillo Garcia,pedro.castillo.garcia3@mail.com,Femenino,1997-11-01,Sonsonate,pyme
96,Daniela Perez Martinez,daniela.perez.martinez5@example.com,Masculino,1980-06-01,Santa Ana,premium
100,Carlos Ortiz Morales,carlos.ortiz.morales2@correo.com,Masculino,1997-09-23,San Salvador,No especificado
104,Diego Chavez Torres,diego.chavez.torres6@seguro.sv,Masculino,1965-07-24,Santa Ana,pyme
106,Sofia Torres Perez,sofia.torres.perez1@seguro.sv,Femenino,1962-06-06,San Salvador,vip
112,Paula Garcia Hernandez,paula.garcia.hernandez0@mail.com,Masculino,1984-11-03,Sonsonate,premium
