id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,motivo_rechazo
2,Daniela Rojas Ortiz,daniela.rojas.ortiz2@seguro.sv,,,Santa Ana,No especificado,genero_vacio;fechaNacimiento_vacio
3,Ricardo Cruz Flores,ricardo.cruz.flores3@example.com,Masculino,,San Miguel,No especificado,fechaNacimiento_vacio
4,Maria Perez Perez,maria.perez.perez4@correo.com,Masculino,,La Libertad,regular,fechaNacimiento_vacio
5,Fernanda Chavez Rojas,fernanda.chavez.rojas5@seguro.sv,,1945-08-02,San Salvador,pyme,genero_vacio
7,Diego Flores Rojas,diego.flores.rojas0@example.com,Masculino,,Santa Ana,premium,fechaNacimiento_vacio
8,Karla Ortiz Lopez,karla.ortiz.lopez1@mail.com,Masculino,,Santa Ana,premium,fechaNacimiento_vacio
9,Juan Flores Morales,juan.flores.morales2@example.com,Femenino,,San Miguel,regular,fechaNacimiento_vacio
10,Maria Aguilar Lopez,maria.aguilar.lopez3@example.com,Masculino,,San Salvador,premium,fechaNacimiento_vacio
11,Sofia Lopez Torres,sofia.lopez.torres4@seguro.sv,Masculino,,Sonsonate,pyme,fechaNacimiento_vacio
12,Valeria Vasquez Gomez,valeria.vasquez.gomez5@mail.com,Femenino,,San Salvador,vip,fechaNacimiento_vacio
14,Karla Hernandez Santos,karla.hernandez.santos0@gmail.com,,,San Salvador,regular,genero_vacio;fechaNacimiento_vacio
15,Ana Rojas Aguilar,ana.rojas.aguilar1@example.com,Masculino,,Santa Ana,premium,fechaNacimiento_vacio
16,Daniela Flores Torres,daniela.flores.torres2@seguro.sv,,,Sonsonate,regular,genero_vacio;fechaNacimiento_vacio
18,Ricardo Reyes Gomez,ricardo.reyes.gomez4@example.com,Femenino,,Sonsonate,No especificado,fechaNacimiento_vacio
19,Ana Mendoza Ramirez,ana.mendoza.ramirez5@seguro.sv,,1947-09-06,Santa Ana,pyme,genero_vacio
21,Daniela Vasquez Rojas,daniela.vasquez.rojas0@example.com,,,San Miguel,premium,genero_vacio;fechaNacimiento_vacio
22,Jose Ramirez Reyes,jose.ramirez.reyes1@correo.com,Masculino,,La Libertad,No especificado,fechaNacimiento_vacio
23,Daniela Torres Castillo,daniela.torres.castillo2@example.com,Masculino,,Santa Ana,vip,fechaNacimiento_vacio
24,Fernanda Perez Flores,fernanda.perez.flores3@gmail.com,Femenino,,La Libertad,vip,fechaNacimiento_vacio
25,Jorge Castillo Aguilar,jorge.castillo.aguilar4@correo.com,Femenino,,La Libertad,vip,fechaNacimiento_vacio
26,Lucia Aguilar Garcia,lucia.aguilar.garcia5@mail.com,Femenino,,Sonsonate,vip,fechaNacimiento_vacio
27,Diego Hernandez Ortiz,diego.hernandez.ortiz6@gmail.com,Femenino,,Sonsonate,pyme,fechaNacimiento_vacio
29,Valeria Garcia Gomez,valeria.garcia.gomez1@mail.com,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
30,Ricardo Castillo Martinez,ricardo.castillo.martinez2@example.com,,,Santa Ana,No especificado,genero_vacio;fechaNacimiento_vacio
31,Sofia Rojas Hernandez,sofia.rojas.hernandez3@correo.com,Femenino,,San Salvador,premium,fechaNacimiento_vacio
32,Carlos Torres Santos,carlos.torres.santos4@seguro.sv,Femenino,,San Miguel,No especificado,fechaNacimiento_vacio
34,Diego Santos Santos,diego.santos.santos6@example.com,Femenino,,Santa Ana,No especificado,fechaNacimiento_vacio
35,Paula Flores Gomez,paula.flores.gomez0@seguro.sv,Masculino,,San Miguel,regular,fechaNacimiento_vacio
36,Marta Hernandez Gomez,marta.hernandez.gomez1@seguro.sv,Femenino,,Sonsonate,pyme,fechaNacimiento_vacio
37,Maria Reyes Flores,maria.reyes.flores2@seguro.sv,Masculino,,Sonsonate,pyme,fechaNacimiento_vacio
38,Juan Ramirez Mendoza,juan.ramirez.mendoza3@seguro.sv,Masculino,,San Salvador,regular,fechaNacimiento_vacio
39,Fernanda Perez Castillo,fernanda.perez.castillo4@seguro.sv,Masculino,,Sonsonate,premium,fechaNacimiento_vacio
40,Carlos Ortiz Lopez,carlos.ortiz.lopez5@correo.com,Masculino,,San Salvador,pyme,fechaNacimiento_vacio
